task,episode,steps,dPlate,bowlz,maxlift,peaklift,pmove,refok,refpm,holdd,holdz,retq,btilt,bzmin,bimp,bpen,pmax,bpush,slip,ltilt,ikfail,rotacc,nclose,ok,distmax,distobj,strict,strict_why,close_q,d_x,d_y,tip_rim,hold_drift,lost_n,termhold,reject_n,ok013,ok020,ok030,ok050
7,47,35.0,0.021,0.9129,0.1363,0.1363,0.0046,24.0,0.0046,0.0193,0.9127,-1.0,34.2,0.9109,4.0,0.001,0.0048,0.0,0.0934,34.2,0.0,0.5,1.0,0.0,0.0,distractor_bowl,1,,4,-0.003,0.027,-0.02,0.001,0,1,0,0,1,1,1
7,48,30.0,0.0717,0.9143,0.1626,0.1626,0.0202,-1.0,0.0229,0.0338,0.9106,-1.0,37.5,0.9096,6.0,0.0215,0.0229,0.0,0.0768,37.5,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.005,0.029,-0.021,0.0003,1,1,0,0,0,0,1
7,49,33.0,0.0089,0.9109,0.1485,0.1485,0.0409,22.0,0.0401,0.0049,0.9111,-1.0,41.6,0.909,6.0,0.0029,0.0403,0.0,0.0705,41.6,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0403,4,-0.006,0.03,-0.021,0.0,0,1,0,1,1,1,1
7,5,350.0,0.0639,0.899,0.134,0.134,0.1595,-1.0,-1.0,-1.0,-1.0,-1.0,35.4,0.8979,14.0,0.0332,0.1595,0.0,0.0682,35.4,0.0,0.5,1.0,0.0,0.0162,cookies,0,,4,-0.001,0.028,-0.017,,0,0,0,0,0,0,0
7,50,31.0,0.0392,0.911,0.146,0.146,0.0626,20.0,0.0544,0.0236,0.915,-1.0,40.4,0.9091,5.0,0.0028,0.0544,0.0,0.0731,40.4,2.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0544,4,-0.005,0.025,-0.018,0.0018,0,1,0,0,0,1,1
7,6,63.0,0.059,0.9247,0.1293,0.1293,0.0097,-1.0,-1.0,-1.0,-1.0,-1.0,40.1,0.9049,8.0,0.0263,0.0122,0.0,0.2319,40.1,0.0,0.4974,1.0,1.0,0.0,distractor_bowl,0,,4,-0.004,0.033,-0.023,,0,0,0,0,0,0,0
7,7,31.0,0.0122,0.915,0.1511,0.1511,0.0334,21.0,0.0334,0.01,0.916,-1.0,40.7,0.9085,6.0,0.0034,0.0363,0.0,0.0755,40.7,0.0,0.5,1.0,1.0,0.0,distractor_bowl,0,"pmax=0.0363,bpen=0.0034",4,-0.004,0.026,-0.021,0.0001,0,1,0,1,1,1,1
7,8,28.0,0.0207,0.9115,0.1411,0.1411,0.0064,18.0,0.0065,0.0198,0.9114,-1.0,41.0,0.9112,5.0,0.0007,0.0065,0.0,0.0723,41.0,0.0,0.5,1.0,1.0,0.0,ramekin,0,pmax=0.0065,4,-0.004,0.029,-0.021,0.0,0,1,0,0,1,1,1
7,9,350.0,0.3367,0.9007,0.1294,0.1294,0.1358,-1.0,-1.0,-1.0,-1.0,-1.0,36.1,0.8979,30.0,0.0332,0.1471,0.0,0.0948,36.1,803.0,0.5,1.0,0.0,0.0714,ramekin,0,,4,-0.002,0.03,-0.019,,0,0,0,0,0,0,0
8,1,29.0,0.0904,0.9075,0.05,0.05,0.0214,-1.0,0.0203,0.0306,0.9123,-1.0,29.9,0.898,2.0,0.0001,0.0309,0.0,0.0944,29.9,0.0,0.5,1.0,0.0,0.0106,distractor_bowl,0,,8,-0.022,-0.072,-0.029,0.0007,1,1,0,0,0,0,1
8,10,25.0,0.0433,0.9136,0.0549,0.0549,0.0148,14.0,0.0003,0.0187,0.9153,-1.0,34.3,0.898,5.0,0.0002,0.0149,0.0,0.0946,34.3,0.0,0.5,1.0,0.0,0.0094,distractor_bowl,1,,8,-0.024,-0.075,-0.025,0.0017,0,1,0,0,1,1,1
8,11,29.0,0.025,0.912,0.0507,0.0507,0.0129,18.0,0.0123,0.0277,0.9122,-1.0,29.8,0.898,2.0,0.0001,0.0129,0.0,0.0904,29.8,0.0,0.5,1.0,0.0,0.0106,distractor_bowl,0,dist=0.0061(distractor_bowl,8,-0.024,-0.072,-0.032,0.0005,0,1,0,0,0,1,1
8,12,28.0,0.0186,0.9156,0.0607,0.0607,0.02,-1.0,0.018,0.0318,0.9131,-1.0,33.8,0.898,1.0,0.0,0.0236,0.0,0.0925,33.8,0.0,0.4813,1.0,0.0,0.0103,distractor_bowl,0,,8,-0.023,-0.07,-0.03,0.0021,1,1,0,0,0,0,1
8,13,26.0,0.027,0.9141,0.0433,0.0433,0.009,15.0,0.0046,0.0122,0.9136,-1.0,40.7,0.898,2.0,0.0,0.0079,0.0,0.0849,40.7,0.0,0.5,1.0,0.0,0.0097,distractor_bowl,0,dist=0.0051(distractor_bowl,8,-0.023,-0.077,-0.013,0.0003,0,1,0,1,1,1,1
8,14,33.0,0.0457,0.9142,0.0549,0.0549,0.0111,22.0,0.0065,0.0139,0.9156,-1.0,31.0,0.898,3.0,0.0001,0.0113,0.0,0.0954,31.0,0.0,0.5,1.0,0.0,0.0118,distractor_bowl,0,dist=0.0073(distractor_bowl,8,-0.018,-0.068,-0.028,0.0014,0,1,0,0,1,1,1
8,15,25.0,0.0413,0.9119,0.0477,0.0477,0.0011,14.0,0.0021,0.0062,0.9119,-1.0,33.8,0.898,3.0,0.0,0.0056,0.0,0.1058,33.8,0.0,0.5,1.0,0.0,0.0094,distractor_bowl,1,,7,-0.014,-0.069,-0.013,0.0,0,1,0,1,1,1,1
8,16,26.0,0.0148,0.9118,0.0554,0.0554,0.0169,15.0,0.0161,0.0285,0.9144,-1.0,30.9,0.898,2.0,0.0004,0.0161,0.0,0.0803,30.9,0.0,0.5,1.0,0.0,0.0097,distractor_bowl,0,dist=0.0051(distractor_bowl,8,-0.012,-0.068,-0.021,0.003,0,1,0,0,0,1,1
8,17,33.0,0.0268,0.9188,0.0533,0.0533,0.0086,-1.0,0.0102,0.017,0.9118,-1.0,38.8,0.898,8.0,0.0021,0.0109,0.0,0.0925,38.8,0.0,0.3158,1.0,0.0,0.0118,distractor_bowl,0,,8,-0.022,-0.071,-0.027,0.0,1,1,0,0,1,1,1
8,18,27.0,0.0257,0.9119,0.0611,0.0611,0.0235,16.0,0.0211,0.0343,0.9116,-1.0,32.0,0.898,2.0,0.0004,0.0211,0.0,0.0849,32.0,0.0,0.5,1.0,0.0,0.01,distractor_bowl,0,dist=0.0054(distractor_bowl,8,-0.02,-0.07,-0.032,0.0019,0,1,0,0,0,0,1
8,19,31.0,0.0539,0.9119,0.0503,0.0503,0.0506,-1.0,0.0486,0.0265,0.9156,-1.0,28.3,0.898,4.0,0.0009,0.0525,0.0,0.0948,28.3,0.0,0.5,1.0,0.0,0.0112,distractor_bowl,0,,8,-0.021,-0.069,-0.027,0.0013,1,1,0,0,0,1,1
8,2,41.0,0.0183,0.9152,0.0561,0.0561,0.0253,30.0,0.025,0.0208,0.916,-1.0,31.9,0.898,3.0,0.0,0.0413,0.0003,0.0988,31.9,0.0,0.5,1.0,0.0,0.0173,distractor_bowl,0,dist=0.0128(distractor_bowl,8,-0.024,-0.073,-0.048,0.0068,1,1,1,0,0,1,1
8,20,27.0,0.0484,0.9253,0.0422,0.0422,0.0528,-1.0,0.009,0.0335,0.9122,-1.0,53.4,0.898,6.0,0.0,0.0528,0.0004,0.0918,53.4,0.0,0.5,1.0,0.0,0.01,distractor_bowl,0,,8,-0.015,-0.075,-0.012,0.0,1,1,0,0,0,0,1
